71.230.193.237 17/January/2019 03:32:13 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 startedcalibration instrw:1366 instrh:610
71.230.193.237 17/January/2019 03:37:05 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 calibrationvelocity:3.51 log:;(3785,1.86);(3753,2.21);(3778,2.57);(3795,2.93);(3763,3.29);(3811,3.65);(3846,4.01);(3770,3.89);(3840,3.8);(3846,3.7);(3866,3.61);(3825,3.51);(3840,3.41);(3880,3.32);(3861,3.61);(3804,3.51) calibw:1366 calibh:768
71.230.193.237 17/January/2019 03:45:01 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 accstable:0.94 accunstable:0.89 objstable:0.99 objunstable:0.97 numcorrectstable:17 numcorrectunstable:16 resplog:(1,unstable,4,4,2170,807,719,12090)(2,unstable,6,4,4069,929,906,1211)(3,stable,2,4,852,959,571,831)(4,unstable,5,4,784,1028,585,1000)(5,stable,3,4,1030,1708,676,1165)(6,stable,1,4,3664,909,977,914)(7,stable,3,4,1268,734,1889,1644)(8,unstable,6,4,2228,944,813,1262)(9,unstable,5,4,861,1799,1053,1019)(10,stable,1,4,3020,1274,1057,1524)(11,stable,2,4,1959,665,1353,893)(12,unstable,4,4,1324,907,1184,1064)(13,unstable,5,4,2905,854,842,1136)(14,stable,2,4,900,882,973,1189)(15,stable,3,4,1204,847,1556,1367)(16,unstable,6,4,2459,539,845,1384)(17,unstable,4,4,711,1032,918,1326)(18,stable,1,4,1250,1181,1239,1168)(19,unstable,5,4,1044,823,1012,1462)(20,stable,3,4,916,1051,742,894)(21,unstable,4,4,899,892,851,1303)(22,stable,1,4,1159,948,1485,775)(23,unstable,6,4,1022,1008,839,990)(24,stable,2,4,930,1046,1333,1694)(25,unstable,5,4,1083,1320,886,970)(26,unstable,6,4,1013,4870,905,5673)(27,stable,1,4,877,1039,851,1392)(28,stable,3,4,904,838,712,989)(29,stable,2,3,997,1014,810,1297)(30,unstable,4,4,1055,1003,992,1254)(31,unstable,5,4,1648,804,878,579)(32,stable,1,4,925,1109,1004,870)(33,stable,2,4,888,842,1096,1152)(34,stable,3,4,1202,738,1034,959)(35,unstable,4,3,708,937,1142,1904)(36,unstable,6,3,812,866,1039,985) testw:1366 testh:768
71.230.193.237 17/January/2019 03:45:16 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 age:34 gender:Male monitor:1366 X 786, 17 inches
71.230.193.237 17/January/2019 03:45:24 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 whattesting:Our ability to remember moving images on a screen
71.230.193.237 17/January/2019 03:45:42 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 howwell:I think I did very well as I was able to look at the whole thing instead of concentrating on one single ball.
71.230.193.237 17/January/2019 03:45:46 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 strategies:I did not.
71.230.193.237 17/January/2019 03:46:01 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 background:One was a scene of nature the other was a laptop that rotated between desks and tables.
71.230.193.237 17/January/2019 03:46:20 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 bkgdiff:I just saw the two main ones, with the 2nd one (36 trials) being a laptop on a desk or a table.
71.230.193.237 17/January/2019 03:46:24 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 unstable:No.
71.230.193.237 17/January/2019 03:46:27 Mozilla/5.0_(X11;_CrOS_x86_64_11151.59.0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.94_Safari/537.36 S16634149 problems:No
