23.125.44.89 21/January/2019 02:16:28 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 startedcalibration instrw:1343 instrh:978
23.125.44.89 21/January/2019 02:17:44 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 calibrationvelocity:1.93 log:;(3369,1.38);(3370,1.66);(3347,1.95);(3344,1.86) calibw:1343 calibh:978
23.125.44.89 21/January/2019 02:24:50 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 accstable:0.78 accunstable:0.83 objstable:0.93 objunstable:0.96 numcorrectstable:14 numcorrectunstable:15 resplog:(1,stable,2,4,1628,1593,1639,1896)(2,unstable,5,3,1026,1239,1264,1633)(3,stable,3,2,1006,928,1184,1119)(4,stable,1,4,1457,1120,768,1160)(5,unstable,4,4,1724,832,913,1016)(6,unstable,6,4,1770,1032,808,968)(7,unstable,4,4,1874,943,1016,920)(8,unstable,6,4,1280,960,1016,704)(9,stable,2,4,1157,704,872,825)(10,unstable,5,4,861,816,672,1080)(11,stable,1,4,1681,806,800,777)(12,stable,3,4,1819,896,784,728)(13,stable,3,4,1002,911,872,952)(14,stable,1,4,812,544,1655,857)(15,unstable,6,3,1553,704,1792,616)(16,unstable,4,3,2139,1144,1720,1193)(17,stable,2,3,1375,1008,544,905)(18,unstable,5,4,1216,727,1066,782)(19,stable,3,4,1132,784,704,752)(20,unstable,4,4,2152,855,529,799)(21,stable,1,3,4383,736,2120,1903)(22,unstable,6,4,2118,823,761,1216)(23,stable,2,4,1281,840,858,1062)(24,unstable,5,4,964,792,888,577)(25,unstable,5,4,1275,784,1000,680)(26,unstable,4,4,1225,1024,1544,936)(27,unstable,6,4,1189,920,871,1152)(28,stable,2,4,1486,536,728,1048)(29,stable,3,3,897,584,792,608)(30,stable,1,4,1192,680,1056,831)(31,stable,2,4,2122,952,937,552)(32,stable,1,4,1032,416,896,816)(33,unstable,5,4,1455,784,1400,784)(34,unstable,4,4,1915,888,951,776)(35,stable,3,4,1146,784,872,1240)(36,unstable,6,4,920,887,1168,881) testw:1343 testh:978
23.125.44.89 21/January/2019 02:27:15 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 age:40 gender:female monitor:27 inches 1250x650
23.125.44.89 21/January/2019 02:28:56 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 whattesting:I think it is testing vision. To see if the average human eye is capable of seeing different objects that it is not fully focused on.
23.125.44.89 21/January/2019 02:29:35 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 howwell:I think I did pretty well. Not a 100% though, but maybe like 80% correct or maybe even more.
23.125.44.89 21/January/2019 02:30:21 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 strategies:No special strategies except to just try to open up my vision and not concentrate on one particular area.
23.125.44.89 21/January/2019 02:30:58 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 background:It was located in an office space with a kitchen and coffee set up off to the side.
23.125.44.89 21/January/2019 02:31:39 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 bkgdiff:I noticed the same image but sometimes it was closer or farther away and I noticed the laptop shifting to the side.
23.125.44.89 21/January/2019 02:31:47 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 unstable:yes
23.125.44.89 21/January/2019 02:31:55 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S6297049 problems:no
